"ID","rodata","data","hora","mandante","visitante","formacao_mandante","formacao_visitante","tecnico_mandante","tecnico_visitante","vencedor","arena","mandante_Placar","visitante_Placar","mandante_Estado","visitante_Estado"
"8406","15","07/07/2024","18:00","Internacional","Vasco","4-2-3-1","4-2-3-1","Eduardo Coudet","Rafael Paiva","Vasco","Beira Rio","1","2","RS","RJ"
"8407","15","15/09/2024","18:30","Flamengo","Vasco","4-4-2","4-3-3","Tite","Rafael Paiva","-","Maracanã","1","1","RJ","RJ"
